rank,title,creator,set,average_score,vote_count,video_id,url
35,My favourite artist turns out to be a bad guy,@kash.cutz,Set 1,57,3,My_favourite_artist_turns_out_to_be_a_bad_guy_Khooshal_J_Jasani,/submissions/My_favourite_artist_turns_out_to_be_a_bad_guy_Khooshal_J_Jasani/Comp%201_6.mp4
36,A DAY IN THE LIFE OF MY SUMMER,@summer.of.2022,Set 2,56.5,2,A_DAY_IN_THE_LIFE_OF_MY_SUMMER_Sheryll,/submissions-set-2/A_DAY_IN_THE_LIFE_OF_MY_SUMMER_Sheryll/video%2034.mp4
37,emotions that cants be expressed by words,@wamiqsaifi,Set 2,56,3,emotions_that_cants_be_expressed_by_words_wamiq_saifi,/submissions-set-2/emotions_that_cants_be_expressed_by_words_wamiq_saifi/video%2012.mp4
38,Natural beauty,@vaishnavibinuuuu,Set 2,56,3,Natural_beauty_Vaishnavi_Binu,/submissions-set-2/Natural_beauty_Vaishnavi_Binu/video%2024.mp4
39,Perception of life,@omsai235119,Set 2,56,3,Perception_of_life_P_Om_Sai_Patra,/submissions-set-2/Perception_of_life_P_Om_Sai_Patra/video%2026.mp4
40,HYPOCRISY OF BOLLYWOOD,@doobmers,Set 1,55.67,3,HYPOCRISY_OF_BOLLYWOOD_doobmers,/submissions/HYPOCRISY_OF_BOLLYWOOD_doobmers/Comp%201_14.mp4
41,Went to college as Raj from RNBDJ,@https://www.instagram.com/deepankkhanduja?igsh=YXBjM2gxaDZmbmxx&utm_source=qr,Set 1,55.67,3,Went_to_college_as_Raj_from_RNBDJ_Deepank_Khanduja,/submissions/Went_to_college_as_Raj_from_RNBDJ_Deepank_Khanduja/Went%20to%20college%20as%20Raj%20from%20RNBDJ.mp4
42,Mounika Kokkiligadda,@https://www.instagram.com/rnounika?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,Set 2,55.33,3,Mounika_Kokkiligadda_Mounika_Kokkiligadda,/submissions-set-2/Mounika_Kokkiligadda_Mounika_Kokkiligadda/video%2021.mp4
43,Neon Glaze,@kooks.brownie,Set 1,55.33,3,Neon_Glaze_Esha_Mukherjee,/submissions/Neon_Glaze_Esha_Mukherjee/Comp%201_12.mp4
44,Tu Aam Ho Par Special Ho,@ishpreetbalbir,Set 1,54.33,3,Tu_Aam_Ho_Par_Special_Ho_Ishpreet_Balbir,/submissions/Tu_Aam_Ho_Par_Special_Ho_Ishpreet_Balbir/mai%20aam%20hu.mp4
45,Wrong Direction pt. 1,@https://www.instagram.com/builtbysakshamm?igsh=Zmp3NHl5NDh4ZXRu,Set 1,54.33,3,Wrong_Direction_pt_1_SakSham_Verma,/submissions/Wrong_Direction_pt_1_SakSham_Verma/Comp%201_17.mp4
46,He Was Always There,@mushmetoo,Set 1,52.67,3,He_Was_Always_There_Smriti_Agarwal,/submissions/He_Was_Always_There_Smriti_Agarwal/Comp%201_6.mp4
47,Love in action (emotional),@niharikaapraveen,Set 1,52,3,Love_in_action_emotional_Niharika,/submissions/Love_in_action_emotional_Niharika/Comp%201_9.mp4
48,THE ELEVATOR,@https://www.instagram.com/by.vconnectz/,Set 1,52,2,THE_ELEVATOR_Shyamkumar_M,/submissions/THE_ELEVATOR_Shyamkumar_M/Comp%201.mp4
49,Vinay,@Vgvine_,Set 2,51.5,2,Vinay_Vinay,/submissions-set-2/Vinay_Vinay/video%2030.mp4
50,Kathakali Cinematic,@yepwaseem_,Set 2,51,3,Kathakali_Cinematic_Waseem,/submissions-set-2/Kathakali_Cinematic_Waseem/video%2016.mp4
